Ticker,Date,ClosePrice,ChangePct,AbsChange,OvernightReturn,20D_Range,VolRatio,5D_Change,Direction,Volume,DayOfWeek,Bin,RangeBin,VolBin,Month,OvernightAbs,AvgOvernightVol20,VolSpike,GapBin
AAPL,2025-07-31,206.74977111816406,-0.7079718520164313,0.7079718520164313,1.5898263352752462,4.520430606345956,1.7294894186689334,-2.89577226494232,Down,80698400.0,Thursday,<1%,0-25%,1.2-2x,July,1.5898263352752462,0.38902132513731147,4.086733123728091,1 to 2%
AAPL,2025-08-01,201.58029174804688,-2.5003555467844607,2.5003555467844607,1.052471907736252,5.974234708504689,2.083099793394447,-5.376840845553943,Down,104434500.0,Friday,2-3%,0-25%,>2x,August,1.052471907736252,0.4212749980382452,2.4983013770988234,1 to 2%
AAPL,2025-08-04,202.5464630126953,0.4792984751981866,0.4792984751981866,0.024579441524053003,12.955253296045857,1.461890593859905,-4.998837005414192,Up,75109300.0,Monday,<1%,0-25%,1.2-2x,August,0.024579441524053003,0.41893164177483505,0.05867172367291325,0 to 0.5%
AAPL,2025-08-05,202.11814880371094,-0.21146466969286237,0.21146466969286237,1.335506094019423,9.943953155735077,0.8583221535935391,-3.9522940880840407,Down,44155100.0,Tuesday,<1%,0-25%,0.8-1.2x,August,1.335506094019423,0.47427925079143674,2.8158644760251357,1 to 2%
AAPL,2025-08-06,212.40733337402344,5.090678215297206,5.090678215297206,2.64009468338795,82.28295636960192,1.993068552580838,2.009084750850132,Up,108483100.0,Wednesday,5-10%,75-100%,1.2-2x,August,2.64009468338795,0.5913644582045603,4.464412168772424,>2%
AAPL,2025-08-07,219.16053771972656,3.1793649675039948,3.1793649675039948,0.3635854585854803,95.76223673714013,1.5907262525509418,6.002795811788042,Up,90224800.0,Thursday,3-5%,75-100%,1.2-2x,August,0.3635854585854803,0.5662318189368964,0.6421141419924337,0 to 0.5%
AAPL,2025-08-08,228.44371032714844,4.235786562676558,4.235786562676558,-0.5107163823140914,94.4067987549552,1.8842618934371071,13.326411201288412,Up,113854000.0,Friday,3-5%,75-100%,1.2-2x,August,0.5107163823140914,0.5626418970932201,0.9077112546232484,-1 to -0.5%
AAPL,2025-08-11,226.53909301757812,-0.833735937331237,0.833735937331237,0.3653476351613616,87.92485309810887,1.0038027049975347,11.845494435209659,Down,61806100.0,Monday,<1%,75-100%,0.8-1.2x,August,0.3653476351613616,0.5665285894052641,0.6448882580575498,0 to 0.5%
AAPL,2025-08-12,229.0021209716797,1.0872419065924621,1.0872419065924621,0.6183406212509013,96.10541656109231,0.8937593325541259,13.301117354917679,Up,55626200.0,Tuesday,1-2%,75-100%,0.8-1.2x,August,0.6183406212509013,0.5689916683851992,1.08673053685611,0.5 to 1%
AAPL,2025-08-13,232.6717529296875,1.6024445286520361,1.6024445286520361,0.31285524990782854,95.0486924182993,1.1029177045214047,9.540357780388353,Up,69878500.0,Wednesday,1-2%,75-100%,0.8-1.2x,August,0.31285524990782854,0.5748799645254243,0.5442096945683212,0 to 0.5%
